sample_id,sample_type,top_bottom,latitude,longitude,mountain_range,depth_cm,site_name,notes
Calder.45_1_0_DNA,sediment,,,,,,,
Calder.45_1_16_DNA,sediment,,,,,,,
Calder.45_1_18_DNA,sediment,,,,,,,
Calder.45_1_2_DNA,sediment,,,,,,,
Calder.45_1_20_DNA,sediment,,,,,,,
Calder.45_1_4_DNA,sediment,,,,,,,
Calder.46_1_0_DNA,sediment,,,,,,,
Calder.46_1_16_DNA,sediment,,,,,,,
Calder.46_1_18_DNA,sediment,,,,,,,
Calder.46_1_2_DNA,sediment,,,,,,,
Calder.46_1_4_DNA,sediment,,,,,,,
Calder.47_1_16_DNA,sediment,,,,,,,
Calder.47_1_18_DNA,sediment,,,,,,,
Calder.47_1_2_DNA,sediment,,,,,,,
Calder.47_1_20_DNA,sediment,,,,,,,
Calder.47_1_4_DNA,sediment,,,,,,,
Calder.48_1_0_DNA,sediment,,,,,,,
Calder.48_1_16_DNA,sediment,,,,,,,
Calder.48_1_2_DNA,sediment,,,,,,,
Calder.48_1_4_DNA,sediment,,,,,,,
Calder.49_1_0_DNA,sediment,,,,,,,
Calder.49_1_16_DNA,sediment,,,,,,,
Calder.49_1_18_DNA,sediment,,,,,,,
Calder.49_1_2_DNA,sediment,,,,,,,
Calder.49_1_20_DNA,sediment,,,,,,,
Calder.49_1_4_DNA,sediment,,,,,,,
Calder.50_1_0_DNA,sediment,,,,,,,
Calder.50_1_4_DNA,sediment,,,,,,,
Calder.51_1_0_DNA,sediment,,,,,,,
Calder.51_1_2_DNA,sediment,,,,,,,
Calder.51_1_4_DNA,sediment,,,,,,,
Calder.52_1_16_DNA,sediment,,,,,,,
Calder.52_1_18_DNA,sediment,,,,,,,
Calder.52_1_2_DNA,sediment,,,,,,,
Calder.52_1_4_DNA,sediment,,,,,,,
Calder.BL0100L,sediment,,,,,,,
Calder.BL0102L,sediment,,,,,,,
Calder.BL0104L,sediment,,,,,,,
Calder.BL0120L,sediment,,,,,,,
Calder.BL0216L,sediment,,,,,,,
Calder.BL0218L,sediment,,,,,,,
Calder.CL0100L,sediment,,,,,,,
Calder.CL0102L,sediment,,,,,,,
Calder.CL0116L,sediment,,,,,,,
Calder.CL0118L,sediment,,,,,,,
Calder.CL0120L,sediment,,,,,,,
Calder.CL0200L,sediment,,,,,,,
Calder.CL0202L2,sediment,,,,,,,
Calder.CL0204L,sediment,,,,,,,
Calder.CL0218L,sediment,,,,,,,
Calder.EG0100L,sediment,,,,,,,
Calder.EG0102L,sediment,,,,,,,
Calder.EG0104L,sediment,,,,,,,
Calder.EG0116L,sediment,,,,,,,
Calder.EG0118L,sediment,,,,,,,
Calder.EG0120L,sediment,,,,,,,
Calder.EG0202L,sediment,,,,,,,
Calder.EG0204L1,sediment,,,,,,,
Calder.EG0216L,sediment,,,,,,,
Calder.EG0218L,sediment,,,,,,,
Calder.EG0220L,sediment,,,,,,,
Calder.EG0300L,sediment,,,,,,,
Calder.EG0302L,sediment,,,,,,,
Calder.EG0304L,sediment,,,,,,,
Calder.EG0308L2,sediment,,,,,,,"This sample is actually EG0318L - matches in the ""Calder_sample_subset"""
Calder.EG0316L,sediment,,,,,,,
Calder.EG0320L,sediment,,,,,,,
Calder.FB0100L,sediment,,,,,,,
Calder.FB0102L,sediment,,,,,,,
Calder.HL0100L,sediment,,,,,,,
Calder.HL0102L,sediment,,,,,,,
Calder.HL0104L,sediment,,,,,,,
Calder.HW0100L,sediment,,,,,,,
Calder.HW0102L,sediment,,,,,,,
Calder.HW0104L,sediment,,,,,,,
Calder.HW0116L,sediment,,,,,,,
Calder.HW0118L,sediment,,,,,,,
