"","sample_type_depth","Phylum","mean_percent"
"338","soil_surface","Proteobacteria",16.6872730276084
"339","soil_surface","Actinobacteriota",16.4956839267882
"340","soil_surface","Planctomycetota",13.812810816087
"341","soil_surface","Verrucomicrobiota",12.5753029009919
"342","soil_surface","Chloroflexi",10.001426594219
"343","soil_surface","Bacteroidota",1.86921384647343
"344","soil_surface","Gemmatimonadota",1.69038900971836
"345","soil_surface","Myxococcota",1.30946332526598
"346","soil_surface","Firmicutes",0.791884931410852
"347","soil_surface","Patescibacteria",0.750088223589862
"348","soil_surface","Methylomirabilota",0.741578714213133
"349","soil_surface","Unassigned",0.718052423583354
"350","soil_surface","Armatimonadota",0.550865592299395
"351","soil_surface","RCP2-54",0.44637382274692
"352","soil_surface","WPS-2",0.410708967270925
"353","soil_surface","Crenarchaeota",0.271052901617558
"354","soil_surface","Latescibacterota",0.219870705513411
"355","soil_surface","Bdellovibrionota",0.205729903166789
"356","soil_surface","Desulfobacterota",0.185582388318946
"357","soil_surface","Elusimicrobiota",0.168688509409265
"358","soil_surface","Cyanobacteria",0.144661659404384
"359","soil_surface","Dependentiae",0.127392360963377
"360","soil_surface","Nitrospirota",0.0757096054841285
"361","soil_surface","Sumerlaeota",0.0304089820374268
"362","soil_surface","MBNT15",0.0270302062554905
"363","soil_surface","Spirochaetota",0.026279367192838
"364","soil_surface","WS2",0.0257788078177363
"365","soil_surface","FCPU426",0.0211486335980458
"366","soil_surface","Thermoplasmatota",0.0197720953165162
"367","soil_surface","Entotheonellaeota",0.0183955570349866
"368","soil_surface","Fibrobacterota",0.0166435992221307
"369","soil_surface","Abditibacteriota",0.00875978906427933
"370","soil_surface","NB1-j",0.00488045390724134
"371","soil_surface","Nanoarchaeota",0.00488045390724134
"372","soil_surface","Hydrogenedentes",0.0026279367192838
"373","soil_surface","Zixibacteria",0.00175195781285587
"374","soil_surface","Micrarchaeota",0.00125139843775419
"375","soil_surface","GAL15",0.00100111875020335
"376","soil_surface","WOR-1",0.000750839062652514
"377","soil_surface","Sva0485",0.000625699218877095
"378","soil_surface","Nitrospinota",0.000500559375101676
"379","soil_surface","WS4",0.000500559375101676
"380","soil_surface","Aenigmarchaeota",0.000250279687550838
"381","soil_surface","Deinococcota",0.000250279687550838
"382","soil_surface","Edwardsbacteria",0.000250279687550838
"383","soil_surface","Halobacterota",0.000250279687550838
"384","soil_surface","SAR324 clade(Marine group B)",0.000250279687550838
"385","soil_surface","10bav-F6",0
"386","soil_surface","Acetothermia",0
"387","soil_surface","Altiarchaeota",0
"388","soil_surface","AncK6",0
"389","soil_surface","Asgardarchaeota",0
"390","soil_surface","BHI80-139",0
"391","soil_surface","CK-2C2-2",0
"392","soil_surface","Caldatribacteriota",0
"393","soil_surface","Caldisericota",0
"394","soil_surface","Calditrichota",0
"395","soil_surface","Campylobacterota",0
"396","soil_surface","Cloacimonadota",0
"397","soil_surface","DTB120",0
"398","soil_surface","Dadabacteria",0
"399","soil_surface","Deferrisomatota",0
"400","soil_surface","Desantisbacteria",0
"401","soil_surface","Euryarchaeota",0
"402","soil_surface","Fermentibacterota",0
"403","soil_surface","Firestonebacteria",0
"404","soil_surface","Fusobacteriota",0
"405","soil_surface","Hadarchaeota",0
"406","soil_surface","Hydrothermarchaeota",0
"407","soil_surface","Iainarchaeota",0
"408","soil_surface","LCP-89",0
"409","soil_surface","MAT-CR-M4-B07",0
"410","soil_surface","Margulisbacteria",0
"411","soil_surface","Modulibacteria",0
"412","soil_surface","NKB15",0
"413","soil_surface","PAUC34f",0
"414","soil_surface","Poribacteria",0
"415","soil_surface","Schekmanbacteria",0
"416","soil_surface","Synergistota",0
"417","soil_surface","TA06",0
"418","soil_surface","TX1A-33",0
"419","soil_surface","Thermotogota",0
"420","soil_surface","WS1",0
