Name,Longitude,Latitude,Elevation (m),Date,ppt (mm),tmin (degrees C),tmean (degrees C),tmax (degrees C),,sample_id,,,Tann,Tmin,Tmax,MAP
SNOTEL.IOANA,-106.38,41.3299,3057,Annual,1092.59,-5.5,0.5,6.6,,SNOTEL.IOANA_F10,0,,0.5,-5.5,6.6,1092.59
SNOTEL.IOANA,-106.38,41.3299,3057,Annual,1092.59,-5.5,0.5,6.6,,SNOTEL.IOANA_G10,0,,0.5,-5.5,6.6,1092.59
LF1B,-106.286,41.3344,3216,Annual,1034.57,-6.2,-0.3,5.5,,LF1B,1,,-0.3,-6.2,5.5,1034.57
LF2B,-106.286,41.3344,3216,Annual,1034.57,-6.2,-0.3,5.5,,LF2B,1,,-0.3,-6.2,5.5,1034.57
LF3B,-106.286,41.3344,3216,Annual,1034.57,-6.2,-0.3,5.5,,LF3B,1,,-0.3,-6.2,5.5,1034.57
LF4B,-106.286,41.3344,3216,Annual,1034.57,-6.2,-0.3,5.5,,LF4B,1,,-0.3,-6.2,5.5,1034.57
Calder.33_1_,-106.3253,41.3348,3226,Annual,1196.61,-6.4,-0.5,5.3,,Calder.33_1_4_DNA,0,,-0.5,-6.4,5.3,1196.61
Calder.ML020,-106.319,41.338,3252,Annual,1209.04,-6.5,-0.7,5.1,,Calder.ML0200L,0,,-0.7,-6.5,5.1,1209.04
Calder.ML020,-106.319,41.338,3252,Annual,1209.04,-6.5,-0.7,5.1,,Calder.ML0202L,0,,-0.7,-6.5,5.1,1209.04
Calder.ML020,-106.319,41.338,3252,Annual,1209.04,-6.5,-0.7,5.1,,Calder.ML0204L,0,,-0.7,-6.5,5.1,1209.04
Calder.ML021,-106.319,41.338,3252,Annual,1209.04,-6.5,-0.7,5.1,,Calder.ML0216L,0,,-0.7,-6.5,5.1,1209.04
Calder.ML021,-106.319,41.338,3252,Annual,1209.04,-6.5,-0.7,5.1,,Calder.ML0218L,0,,-0.7,-6.5,5.1,1209.04
Calder.ML010,-106.319,41.338,3252,Annual,1209.04,-6.5,-0.7,5.1,,Calder.ML0104L,0,,-0.7,-6.5,5.1,1209.04
SL1A,-106.1668,41.3421,2723,Annual,562.58,-4.4,2.5,9.3,,SL1A,1,,2.5,-4.4,9.3,562.58
SL1B,-106.1668,41.3421,2723,Annual,562.58,-4.4,2.5,9.3,,SL1B,1,,2.5,-4.4,9.3,562.58
SL2A,-106.1668,41.3421,2723,Annual,562.58,-4.4,2.5,9.3,,SL2A,1,,2.5,-4.4,9.3,562.58
SL2B,-106.1668,41.3421,2723,Annual,562.58,-4.4,2.5,9.3,,SL2B,1,,2.5,-4.4,9.3,562.58
SL3A,-106.1668,41.3421,2723,Annual,562.58,-4.4,2.5,9.3,,SL3A,1,,2.5,-4.4,9.3,562.58
SL3B,-106.1668,41.3421,2723,Annual,562.58,-4.4,2.5,9.3,,SL3B,1,,2.5,-4.4,9.3,562.58
SL4A,-106.1668,41.3421,2723,Annual,562.58,-4.4,2.5,9.3,,SL4A,1,,2.5,-4.4,9.3,562.58
SL4B,-106.1668,41.3421,2723,Annual,562.58,-4.4,2.5,9.3,,SL4B,1,,2.5,-4.4,9.3,562.58
MB1A,-106.2332,41.3495,3069,Annual,882.15,-5.4,0.6,6.6,,MB1A,1,,0.6,-5.4,6.6,882.15
MB2B,-106.2332,41.3495,3069,Annual,882.15,-5.4,0.6,6.6,,MB2B,1,,0.6,-5.4,6.6,882.15
MB3A,-106.2332,41.3495,3069,Annual,882.15,-5.4,0.6,6.6,,MB3A,1,,0.6,-5.4,6.6,882.15
MB3B,-106.2332,41.3495,3069,Annual,882.15,-5.4,0.6,6.6,,MB3B,1,,0.6,-5.4,6.6,882.15
MB4A,-106.2332,41.3495,3069,Annual,882.15,-5.4,0.6,6.6,,MB4A,1,,0.6,-5.4,6.6,882.15
MB4B,-106.2332,41.3495,3069,Annual,882.15,-5.4,0.6,6.6,,MB4B,1,,0.6,-5.4,6.6,882.15
MB5A,-106.2332,41.3495,3069,Annual,882.15,-5.4,0.6,6.6,,MB5A,1,,0.6,-5.4,6.6,882.15
MB5B,-106.2332,41.3495,3069,Annual,882.15,-5.4,0.6,6.6,,MB5B,1,,0.6,-5.4,6.6,882.15
Calder.HL010,-106.27,41.35,3202,Annual,1002.3,-6,-0.2,5.6,,Calder.HL0100L,0,,-0.2,-6,5.6,1002.3
Calder.HL010,-106.27,41.35,3202,Annual,1002.3,-6,-0.2,5.6,,Calder.HL0102L,0,,-0.2,-6,5.6,1002.3
Calder.HL010,-106.27,41.35,3202,Annual,1002.3,-6,-0.2,5.6,,Calder.HL0104L,0,,-0.2,-6,5.6,1002.3
Calder.HW010,-106.263,41.351,3202,Annual,1002.3,-6,-0.2,5.6,,Calder.HW0100L,0,,-0.2,-6,5.6,1002.3
Calder.HW010,-106.263,41.351,3202,Annual,1002.3,-6,-0.2,5.6,,Calder.HW0102L,0,,-0.2,-6,5.6,1002.3
Calder.HW010,-106.263,41.351,3202,Annual,1002.3,-6,-0.2,5.6,,Calder.HW0104L,0,,-0.2,-6,5.6,1002.3
