"","sample_id","sample_type","sample_number","site_name","mountain_range","latitude","longitude","elevation","notes","depth_start","depth_end","top_bottom","measured_temperature","temperature_type","Tann","Tmin","Tmax","MAP","climate_data_source","Tann_snotel","Tmin_snotel","Tmax_snotel","MAP_snotel"
"MAWC.LB3A","MAWC.LB3A","peat",81,"Little Bear",NA,44.937367,-109.517463,2915,"",3,5,NA,"18.9","system water temperature",-0.4,-6.3,5.5,973.85,"PRISM 1991-2020 800-m",NA,NA,NA,NA
"MAWC.LB3B","MAWC.LB3B","peat",82,"Little Bear",NA,44.937367,-109.517463,2915,"",11,13,NA,"18.9","system water temperature",-0.4,-6.3,5.5,973.85,"PRISM 1991-2020 800-m",NA,NA,NA,NA
"MAWC.LB4A","MAWC.LB4A","peat",83,"Little Bear",NA,44.937367,-109.517463,2915,"",3,5,NA,"18.9","system water temperature",-0.4,-6.3,5.5,973.85,"PRISM 1991-2020 800-m",NA,NA,NA,NA
"MAWC.LB4B","MAWC.LB4B","peat",84,"Little Bear",NA,44.937367,-109.517463,2915,"",16,18,NA,"18.9","system water temperature",-0.4,-6.3,5.5,973.85,"PRISM 1991-2020 800-m",NA,NA,NA,NA
"MAWC.LBFL21_1_0_1_cm","MAWC.LBFL21_1_0_1_cm","peat",85,"LBFL21 peat core",NA,NA,NA,NA,"",NA,NA,NA,"","",1.2,-4.9,7.3,1001.62,"PRISM 1991-2020 800-m",NA,NA,NA,NA
"MAWC.LBFL21_1_10_11_cm","MAWC.LBFL21_1_10_11_cm","peat",86,"LBFL21 peat core",NA,NA,NA,NA,"",NA,NA,NA,"","",1.2,-4.9,7.3,1001.62,"PRISM 1991-2020 800-m",NA,NA,NA,NA
"MAWC.LBFL21_1_12_13_cm","MAWC.LBFL21_1_12_13_cm","peat",87,"LBFL21 peat core",NA,NA,NA,NA,"",NA,NA,NA,"","",1.2,-4.9,7.3,1001.62,"PRISM 1991-2020 800-m",NA,NA,NA,NA
"MAWC.LBFL21_1_14_15_cm","MAWC.LBFL21_1_14_15_cm","peat",88,"LBFL21 peat core",NA,NA,NA,NA,"",NA,NA,NA,"","",1.2,-4.9,7.3,1001.62,"PRISM 1991-2020 800-m",NA,NA,NA,NA
"MAWC.LBFL21_1_16_17_cm","MAWC.LBFL21_1_16_17_cm","peat",89,"LBFL21 peat core",NA,NA,NA,NA,"",NA,NA,NA,"","",1.2,-4.9,7.3,1001.62,"PRISM 1991-2020 800-m",NA,NA,NA,NA
"MAWC.LBFL21_1_18_19_cm","MAWC.LBFL21_1_18_19_cm","peat",90,"LBFL21 peat core",NA,NA,NA,NA,"",NA,NA,NA,"","",1.2,-4.9,7.3,1001.62,"PRISM 1991-2020 800-m",NA,NA,NA,NA
"MAWC.LBFL21_1_2_3_cm","MAWC.LBFL21_1_2_3_cm","peat",91,"LBFL21 peat core",NA,NA,NA,NA,"",NA,NA,NA,"","",2.3,-4.2,8.8,547.03,"PRISM 1991-2020 800-m",NA,NA,NA,NA
